FileName,NoRemoval,SimpleRemoval,FullRemoval,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException
progpedia/00000006/ACCEPTED/00010_00003/cigarras.java,100.0000,100.0000,0.0000,8.01,8.15,10.95,true,false
progpedia/00000006/ACCEPTED/00114_00001/cigarras.java,100.0000,100.0000,100.0000,5.68,5.41,7.12,false,false
progpedia/00000006/ACCEPTED/00113_00001/Cigarras.java,100.0000,100.0000,100.0000,4.66,4.59,5.90,false,false
progpedia/00000006/ACCEPTED/00089_00001/Cigarras.java,100.0000,100.0000,100.0000,6.20,6.02,8.28,false,false
progpedia/00000006/ACCEPTED/00180_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,5.81,6.26,9.47,false,false
progpedia/00000006/ACCEPTED/00027_00004/CigarrasTontas.java,100.0000,100.0000,0.0000,7.14,6.75,6.45,true,false
progpedia/00000006/ACCEPTED/00107_00001/cigarras.java,100.0000,100.0000,100.0000,4.17,4.54,5.61,false,false
progpedia/00000006/ACCEPTED/00001_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,7.39,7.59,7.64,true,false
progpedia/00000006/ACCEPTED/00219_00004/Cigarras.java,100.0000,100.0000,100.0000,4.56,4.54,6.61,false,false
progpedia/00000006/ACCEPTED/00134_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,5.39,5.57,8.23,false,false
progpedia/00000006/ACCEPTED/00159_00002/cigarras_tontas.java,100.0000,100.0000,100.0000,7.17,5.89,8.34,false,false
progpedia/00000006/ACCEPTED/00119_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,4.24,4.63,5.81,false,false
progpedia/00000006/ACCEPTED/00082_00001/ProblemaC.java,100.0000,100.0000,100.0000,4.43,4.28,5.80,false,false
progpedia/00000006/ACCEPTED/00075_00001/CT.java,100.0000,100.0000,100.0000,5.08,5.20,7.63,false,false
progpedia/00000006/ACCEPTED/00010_00002/cigarras.java,100.0000,100.0000,0.0000,7.37,7.65,9.13,true,false
progpedia/00000006/ACCEPTED/00057_00004/CigarrasTontas.java,100.0000,100.0000,100.0000,9.58,10.22,12.02,false,false
progpedia/00000006/ACCEPTED/00091_00001/ProblemaC.java,100.0000,100.0000,0.0000,5.75,6.42,6.88,true,false
progpedia/00000006/ACCEPTED/00109_00003/cigarras.java,100.0000,100.0000,100.0000,4.48,4.77,6.60,false,false
progpedia/00000006/ACCEPTED/00115_00001/ProbC.java,100.0000,100.0000,100.0000,5.21,6.09,7.32,false,false
progpedia/00000006/ACCEPTED/00096_00009/CigarrasTontas.java,100.0000,100.0000,100.0000,7.53,6.49,9.17,false,false
progpedia/00000006/ACCEPTED/00217_00003/cigarras.java,100.0000,100.0000,100.0000,7.23,9.46,10.35,false,false
progpedia/00000006/ACCEPTED/00173_00001/cigarras.java,100.0000,100.0000,100.0000,4.07,3.91,4.97,false,false
progpedia/00000006/WRONG_ANSWER/00013_00002/ProbA.java,100.0000,100.0000,0.0000,6.33,6.58,7.93,true,false
progpedia/00000006/WRONG_ANSWER/00150_00001/Cigarras.java,100.0000,100.0000,100.0000,8.39,6.64,13.53,false,false
progpedia/00000006/WRONG_ANSWER/00151_00003/ProbA.java,100.0000,100.0000,100.0000,7.58,7.33,11.17,false,false
progpedia/00000006/WRONG_ANSWER/00087_00010/Sigarras.java,100.0000,100.0000,0.0000,7.94,8.86,10.79,true,false
progpedia/00000006/WRONG_ANSWER/00057_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,8.72,8.44,11.75,false,false
progpedia/00000006/WRONG_ANSWER/00009_00001/ProbA.java,100.0000,100.0000,100.0000,5.11,5.25,7.72,false,false
progpedia/00000006/WRONG_ANSWER/00101_00002/Cigarras.java,100.0000,100.0000,100.0000,5.58,5.10,8.21,false,false
progpedia/00000006/WRONG_ANSWER/00013_00001/ProbA.java,100.0000,100.0000,0.0000,5.74,6.11,7.28,true,false
progpedia/00000006/WRONG_ANSWER/00145_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,9.82,9.43,12.14,false,false
progpedia/00000006/WRONG_ANSWER/00151_00004/ProbA.java,100.0000,100.0000,100.0000,5.49,5.84,10.21,false,false
progpedia/00000006/WRONG_ANSWER/00159_00001/cigarras_tontas.java,100.0000,100.0000,100.0000,8.09,9.41,13.47,false,false
progpedia/00000006/WRONG_ANSWER/00191_00001/daa_cigarrastontas.java,100.0000,100.0000,100.0000,6.37,7.63,9.69,false,false
progpedia/00000006/WRONG_ANSWER/00066_00012/Cigas.java,100.0000,100.0000,100.0000,6.53,6.60,10.11,false,false
progpedia/00000006/WRONG_ANSWER/00215_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,7.12,7.58,8.99,true,false
progpedia/00000006/WRONG_ANSWER/00069_00001/cigarras.java,100.0000,100.0000,100.0000,6.26,7.59,9.93,false,false
progpedia/00000006/WRONG_ANSWER/00080_00001/cigarras.java,100.0000,100.0000,100.0000,5.12,4.95,7.14,false,false
progpedia/00000006/WRONG_ANSWER/00087_00013/Sigarras.java,100.0000,100.0000,0.0000,7.68,7.95,10.71,true,false
progpedia/00000006/WRONG_ANSWER/00177_00001/cigarra.java,100.0000,100.0000,100.0000,9.93,7.33,10.72,false,false
progpedia/00000006/WRONG_ANSWER/00150_00004/Cigarras.java,100.0000,100.0000,100.0000,8.45,8.34,18.72,false,false
progpedia/00000006/WRONG_ANSWER/00152_00001/Cigarras.java,100.0000,100.0000,100.0000,4.94,4.52,6.34,false,false
progpedia/00000006/WRONG_ANSWER/00027_00003/CigarrasTontas.java,100.0000,100.0000,0.0000,4.77,5.18,6.08,true,false
progpedia/00000006/WRONG_ANSWER/00217_00001/cigarras.java,100.0000,100.0000,91.6700,5.06,4.89,8.22,false,false
progpedia/00000006/WRONG_ANSWER/00087_00007/Sigarras.java,100.0000,100.0000,0.0000,6.90,7.95,9.49,true,false
progpedia/00000006/WRONG_ANSWER/00087_00011/Sigarras.java,100.0000,100.0000,0.0000,6.92,6.60,9.52,true,false
progpedia/00000006/WRONG_ANSWER/00069_00002/cigarras.java,100.0000,100.0000,100.0000,8.75,6.02,8.56,false,false
progpedia/00000006/WRONG_ANSWER/00217_00002/cigarras.java,100.0000,100.0000,100.0000,5.67,5.61,8.12,false,false
progpedia/00000006/WRONG_ANSWER/00087_00009/Sigarras.java,100.0000,100.0000,0.0000,7.02,7.22,10.60,true,false
progpedia/00000006/WRONG_ANSWER/00057_00003/CigarrasTontas.java,100.0000,100.0000,100.0000,10.52,10.11,12.96,false,false
progpedia/00000006/WRONG_ANSWER/00150_00002/Cigarras.java,100.0000,100.0000,100.0000,8.94,8.15,18.13,false,false
progpedia/00000006/WRONG_ANSWER/00150_00003/Cigarras.java,100.0000,100.0000,100.0000,7.46,7.78,16.98,false,false
progpedia/00000006/WRONG_ANSWER/00009_00004/cigarras.java,100.0000,100.0000,0.0000,5.41,5.24,8.19,true,false
progpedia/00000006/WRONG_ANSWER/00087_00008/Sigarras.java,100.0000,100.0000,0.0000,6.97,7.26,9.40,true,false
progpedia/00000006/WRONG_ANSWER/00145_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,9.01,8.67,11.58,false,false
progpedia/00000006/WRONG_ANSWER/00087_00012/Sigarras.java,100.0000,100.0000,0.0000,7.76,7.50,9.08,true,false
progpedia/00000006/WRONG_ANSWER/00080_00002/cigarras.java,100.0000,100.0000,100.0000,5.43,4.89,6.68,false,false
progpedia/00000016/ACCEPTED/00106_00001/Sopa_Letras.java,100.0000,100.0000,0.0000,6.19,6.49,8.04,true,false
progpedia/00000016/ACCEPTED/00024_00001/main.java,100.0000,100.0000,0.0000,17.46,15.41,18.15,true,false
progpedia/00000016/ACCEPTED/00120_00003/sopa.java,100.0000,100.0000,0.0000,6.42,5.68,6.95,true,false
progpedia/00000016/ACCEPTED/00061_00001/SopaLetras.java,100.0000,100.0000,100.0000,5.39,5.58,7.45,false,false
progpedia/00000016/ACCEPTED/00081_00004/SopaLetras.java,100.0000,100.0000,0.0000,6.34,6.48,7.44,true,false
progpedia/00000016/ACCEPTED/00032_00001/sopa.java,100.0000,100.0000,100.0000,5.67,5.73,8.45,false,false
progpedia/00000016/ACCEPTED/00094_00001/sopaletras.java,100.0000,100.0000,100.0000,6.66,6.64,8.66,false,false
progpedia/00000016/ACCEPTED/00099_00003/sopa.java,100.0000,100.0000,100.0000,6.55,6.52,9.22,false,false
progpedia/00000016/ACCEPTED/00103_00002/Sopa1.java,100.0000,100.0000,100.0000,6.97,7.39,11.80,false,false
progpedia/00000016/ACCEPTED/00086_00001/Sopadeletras.java,100.0000,100.0000,100.0000,6.22,6.64,7.92,false,false
progpedia/00000016/ACCEPTED/00095_00001/sopa.java,100.0000,100.0000,0.0000,10.45,9.81,11.02,true,false
progpedia/00000016/ACCEPTED/00099_00002/sopa.java,100.0000,100.0000,100.0000,8.78,9.37,12.54,false,false
progpedia/00000016/ACCEPTED/00071_00002/sopa.java,100.0000,100.0000,0.0000,7.26,6.60,7.04,true,false
progpedia/00000016/ACCEPTED/00093_00001/Problema2A.java,100.0000,100.0000,0.0000,6.30,6.21,8.31,true,false
