FileName,NoRemoval,SimpleRemoval,FullRemoval,RemovedSimpleTokens,RemovedFullTokens,RemovedManualTokens,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException,RuntimeException
progpedia/00000006/ACCEPTED/00030_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.82,10.57,10.90,false,false,false
progpedia/00000006/ACCEPTED/00058_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,38.0000,0.0000,7.01,6.83,10.71,true,false,false
progpedia/00000006/ACCEPTED/00209_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.18,6.99,7.76,false,false,false
progpedia/00000006/ACCEPTED/00094_00001/probA.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.51,6.41,7.38,false,false,false
progpedia/00000006/ACCEPTED/00080_00003/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.97,6.96,8.25,false,false,false
progpedia/00000006/ACCEPTED/00062_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.19,6.20,6.67,false,false,false
progpedia/00000006/ACCEPTED/00177_00002/cigarra.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,8.22,7.92,9.20,false,false,false
progpedia/00000006/ACCEPTED/00049_00004/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.77,6.14,6.87,false,false,false
progpedia/00000006/ACCEPTED/00221_00002/DAA1A.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.57,5.79,6.09,false,false,false
progpedia/00000006/ACCEPTED/00223_00004/Trabalho.java,100.0000,100.0000,0.0000,0.0000,36.0000,0.0000,6.64,6.19,7.03,true,false,false
progpedia/00000006/ACCEPTED/00111_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.47,5.86,5.87,false,false,false
progpedia/00000006/ACCEPTED/00195_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.76,5.05,5.43,false,false,false
progpedia/00000006/ACCEPTED/00074_00001/ProbA.java,100.0000,100.0000,0.0000,0.0000,32.0000,0.0000,5.51,4.73,5.82,true,false,false
progpedia/00000006/ACCEPTED/00009_00002/ProbA.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.04,5.81,7.33,false,false,false
progpedia/00000006/ACCEPTED/00069_00003/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.79,6.65,7.18,false,false,false
progpedia/00000006/ACCEPTED/00046_00001/cigarras.java,100.0000,100.0000,0.0000,0.0000,42.0000,0.0000,8.09,7.82,10.02,true,false,false
progpedia/00000006/ACCEPTED/00094_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.09,6.24,6.50,false,false,false
progpedia/00000006/ACCEPTED/00102_00003/cigarrastontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,10.54,8.78,8.33,false,false,false
progpedia/00000006/ACCEPTED/00150_00005/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,7.75,8.04,12.32,false,false,false
progpedia/00000006/ACCEPTED/00097_00003/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,9.52,7.98,9.15,false,false,false
progpedia/00000006/ACCEPTED/00095_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.27,4.32,6.04,false,false,false
progpedia/00000006/ACCEPTED/00130_00001/A.java,100.0000,100.0000,66.9600,0.0000,38.0000,0.0000,13.27,13.41,16.84,false,false,false
progpedia/00000006/ACCEPTED/00179_00003/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.79,5.07,5.75,false,false,false
progpedia/00000006/ACCEPTED/00117_00001/Cigarra.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.90,5.67,6.39,false,false,false
progpedia/00000006/ACCEPTED/00087_00014/Sigarras.java,100.0000,100.0000,0.0000,0.0000,78.0000,0.0000,7.99,8.56,8.77,true,false,false
progpedia/00000006/ACCEPTED/00010_00003/cigarras.java,100.0000,100.0000,0.0000,0.0000,53.0000,0.0000,7.67,6.67,7.37,true,false,false
progpedia/00000006/ACCEPTED/00114_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.87,4.94,5.79,false,false,false
progpedia/00000006/ACCEPTED/00113_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.63,5.76,5.46,false,false,false
progpedia/00000006/ACCEPTED/00089_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.72,5.78,6.23,false,false,false
progpedia/00000006/ACCEPTED/00180_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.75,5.70,7.08,false,false,false
progpedia/00000006/ACCEPTED/00027_00004/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,41.0000,0.0000,5.48,4.94,5.74,true,false,false
progpedia/00000006/ACCEPTED/00107_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.42,4.78,5.50,false,false,false
progpedia/00000006/ACCEPTED/00001_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,57.0000,0.0000,6.33,6.27,6.49,true,false,false
progpedia/00000006/ACCEPTED/00219_00004/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.24,5.23,6.56,false,false,false
progpedia/00000006/ACCEPTED/00134_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.22,5.96,7.06,false,false,false
progpedia/00000006/ACCEPTED/00159_00002/cigarras_tontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.41,5.33,6.09,false,false,false
progpedia/00000006/ACCEPTED/00119_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.08,5.60,5.99,false,false,false
progpedia/00000006/ACCEPTED/00082_00001/ProblemaC.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.33,4.58,5.21,false,false,false
progpedia/00000006/ACCEPTED/00075_00001/CT.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.98,4.53,5.36,false,false,false
progpedia/00000006/ACCEPTED/00010_00002/cigarras.java,100.0000,100.0000,0.0000,0.0000,53.0000,0.0000,6.95,7.32,7.77,true,false,false
progpedia/00000006/ACCEPTED/00057_00004/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,8.70,8.83,12.40,false,false,false
progpedia/00000006/ACCEPTED/00091_00001/ProblemaC.java,100.0000,100.0000,0.0000,0.0000,34.0000,0.0000,4.90,5.09,6.23,true,false,false
progpedia/00000006/ACCEPTED/00109_00003/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,4.65,4.78,5.46,false,false,false
progpedia/00000006/ACCEPTED/00115_00001/ProbC.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.07,4.68,5.70,false,false,false
progpedia/00000006/ACCEPTED/00096_00009/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.82,6.04,7.26,false,false,false
progpedia/00000006/ACCEPTED/00217_00003/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.85,6.44,9.29,false,false,false
progpedia/00000006/ACCEPTED/00173_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,3.72,3.52,4.51,false,false,false
progpedia/00000006/WRONG_ANSWER/00013_00002/ProbA.java,100.0000,100.0000,0.0000,0.0000,49.0000,0.0000,6.59,6.78,7.44,true,false,false
progpedia/00000006/WRONG_ANSWER/00150_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.70,6.94,7.46,false,false,false
progpedia/00000006/WRONG_ANSWER/00151_00003/ProbA.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.67,5.91,6.95,false,false,false
progpedia/00000006/WRONG_ANSWER/00087_00010/Sigarras.java,100.0000,100.0000,0.0000,0.0000,70.0000,0.0000,6.56,7.08,7.57,true,false,false
progpedia/00000006/WRONG_ANSWER/00057_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,8.10,8.84,12.58,false,false,false
progpedia/00000006/WRONG_ANSWER/00009_00001/ProbA.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.27,5.23,6.84,false,false,false
progpedia/00000006/WRONG_ANSWER/00101_00002/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.46,5.56,6.47,false,false,false
progpedia/00000006/WRONG_ANSWER/00013_00001/ProbA.java,100.0000,100.0000,0.0000,0.0000,49.0000,0.0000,6.16,8.55,7.86,true,false,false
progpedia/00000006/WRONG_ANSWER/00145_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,9.24,10.56,13.24,false,false,false
progpedia/00000006/WRONG_ANSWER/00151_00004/ProbA.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.94,6.73,7.47,false,false,false
progpedia/00000006/WRONG_ANSWER/00159_00001/cigarras_tontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.42,7.16,8.36,false,false,false
progpedia/00000006/WRONG_ANSWER/00191_00001/daa_cigarrastontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.86,5.47,6.60,false,false,false
progpedia/00000006/WRONG_ANSWER/00066_00012/Cigas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,6.34,5.96,6.85,false,false,false
progpedia/00000006/WRONG_ANSWER/00215_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,52.0000,0.0000,6.97,7.29,7.78,true,false,false
progpedia/00000006/WRONG_ANSWER/00069_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,5.81,6.34,6.74,false,false,false
